"Үзүүлэлт","year","value"
"Дотоодод болон гадаадад тээвэрлэсэн ачаа, мянган тонн","2016-01",1362.19
"Уул уурхайн бүтээгдэхүүн","2016-01",1307.11
"Нүүрс","2016-01",719.38
"Нефть, нефтийн бүтээгдэхүүн","2016-01",13.59
"Жонш, жоншны баяжмал","2016-01",16.4
"Зэс болон молибдений баяжмал","2016-01",53.95
"Төмрийн хүдэр","2016-01",496.89
"Цайрын баяжмал","2016-01",3.01
"Бусад","2016-01",3.89
"Барилгын материал","2016-01",13.54
"Мод, модон материал","2016-01",3.5
"Хүнсний өргөн хэрэглээний бүтээгдэхүүн","2016-01",13.21
"Түргэн муудах бүтээгдэхүүн","2016-01",2.58
"ХАА-н гаралтай бүтээгдэхүүн","2016-01",3.59
"Хар төмөр (хаягдал, рельс г.м)","2016-01",5.76
"Үйлдвэрийн машин, тоног төхөөрөмж, багаж хэрэгсэл","2016-01",1.15
"Бусад","2016-01",11.76
"Зорчигчид, мянган хүн","2016-01",225.57
"Зорчигчид, мянган хүн - олон улсад зорчсон","2016-01",9.26
"Зорчигчид, мянган хүн - дотоодод зорчсон","2016-01",216.3
"Зорчигч эргэлт, сая хүн километр","2016-01",84.54
"Шилжүүлсэн сая тонн километр","2016-01",1091.99
"Тээврийн орлого, сая төгрөг","2016-01",33669.49
"Тээсэн ачаа, мянган тонн","2016-02",1236.89
"Тээсэн ачаа, мянган тонн - дотоодод","2016-02",705.27
"Тээсэн ачаа, мянган тонн - гаргалт","2016-02",234.19
"Тээсэн ачаа, мянган тонн - оруулалт","2016-02",133.64
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2016-02",163.79
"Ачаа эргэлт, сая тонн километр","2016-02",633.29
"Ачаа эргэлт, сая тонн километр - дотоодын","2016-02",175.05
"Ачаа эргэлт, сая тонн километр - гаргалт","2016-02",225.14
"Ачаа эргэлт, сая тонн километр - оруулалт","2016-02",51.29
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2016-02",181.81
"Дотоодод болон гадаадад тээвэрлэсэн ачаа, мянган тонн","2016-02",939.46
"Уул уурхайн бүтээгдэхүүн","2016-02",901.29
"Нүүрс","2016-02",629.35
"Нефть, нефтийн бүтээгдэхүүн","2016-02",15.98
"Жонш, жоншны баяжмал","2016-02",16.96
"Зэс болон молибдений баяжмал","2016-02",57.1
"Төмрийн хүдэр","2016-02",174.07
"Цайрын баяжмал","2016-02",7.83
"Бусад","2016-02",0
"Барилгын материал","2016-02",10.16
"Мод, модон материал","2016-02",2.24
"Хүнсний өргөн хэрэглээний бүтээгдэхүүн","2016-02",6.09
"Түргэн муудах бүтээгдэхүүн","2016-02",1.49
"ХАА-н гаралтай бүтээгдэхүүн","2016-02",1.05
"Хар төмөр (хаягдал, рельс г.м)","2016-02",0.79
"Үйлдвэрийн машин, тоног төхөөрөмж, багаж хэрэгсэл","2016-02",0.61
"Бусад","2016-02",15.73
"Зорчигчид, мянган хүн","2016-02",205.16
"Зорчигчид, мянган хүн - олон улсад зорчсон","2016-02",5.7
"Зорчигчид, мянган хүн - дотоодод зорчсон","2016-02",199.47
"Зорчигч эргэлт, сая хүн километр","2016-02",61.51
"Шилжүүлсэн сая тонн километр","2016-02",694.8
"Тээврийн орлого, сая төгрөг","2016-02",21620.58
"Тээсэн ачаа, мянган тонн","2016-I",4401.1
"Тээсэн ачаа, мянган тонн - дотоодод","2016-I",2119.9
"Тээсэн ачаа, мянган тонн - гаргалт","2016-I",1329
"Тээсэн ачаа, мянган тонн - оруулалт","2016-I",421.8
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2016-I",530.4
"Ачаа эргэлт, сая тонн километр","2016-I",2602.8
"Ачаа эргэлт, сая тонн километр - дотоодын","2016-I",534.1
"Ачаа эргэлт, сая тонн километр - гаргалт","2016-I",1305.4
"Ачаа эргэлт, сая тонн километр - оруулалт","2016-I",174.5
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2016-I",588.8
"Дотоодод болон гадаадад тээвэрлэсэн ачаа, мянган тонн","2016-I",3448.9
"Уул уурхайн бүтээгдэхүүн","2016-I",3266.1
"Нүүрс","2016-I",1861.9
"Нефть, нефтийн бүтээгдэхүүн","2016-I",51.1
"Жонш, жоншны баяжмал","2016-I",53.7
"Зэс болон молибдений баяжмал","2016-I",167.1
"Төмрийн хүдэр","2016-I",1092.5
"Цайрын баяжмал","2016-I",22.9
"Бусад","2016-I",16.8
"Барилгын материал","2016-I",58.8
"Мод, модон материал","2016-I",15.1
"Хүнсний өргөн хэрэглээний бүтээгдэхүүн","2016-I",27.8
"Түргэн муудах бүтээгдэхүүн","2016-I",5.9
"ХАА-н гаралтай бүтээгдэхүүн","2016-I",6.5
"Хар төмөр (хаягдал, рельс г.м)","2016-I",11.9
"Үйлдвэрийн машин, тоног төхөөрөмж, багаж хэрэгсэл","2016-I",3.3
"Бусад","2016-I",53.6
"Зорчигчид, мянган хүн","2016-I",637.3
"Зорчигчид, мянган хүн - олон улсад зорчсон","2016-I",21.5
"Зорчигчид, мянган хүн - дотоодод зорчсон","2016-I",615.8
"Зорчигч эргэлт, сая хүн километр","2016-I",216.7
"Шилжүүлсэн сая тонн километр","2016-I",2819.5
"Тээврийн орлого, сая төгрөг","2016-I",88036.1
"Тээсэн ачаа, мянган тонн","2016-03",1507.51
"Тээсэн ачаа, мянган тонн - дотоодод","2016-03",615.14
"Тээсэн ачаа, мянган тонн - гаргалт","2016-03",532.09
"Тээсэн ачаа, мянган тонн - оруулалт","2016-03",156.51
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2016-03",203.77
"Ачаа эргэлт, сая тонн километр","2016-03",962.05
"Ачаа эргэлт, сая тонн километр - дотоодын","2016-03",158.08
"Ачаа эргэлт, сая тонн километр - гаргалт","2016-03",511.77
"Ачаа эргэлт, сая тонн километр - оруулалт","2016-03",66.01
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2016-03",226.19
"Дотоодод болон гадаадад тээвэрлэсэн ачаа, мянган тонн","2016-03",1147.23
"Уул уурхайн бүтээгдэхүүн","2016-03",1057.65
"Нүүрс","2016-03",513.22
"Нефть, нефтийн бүтээгдэхүүн","2016-03",21.51
"Жонш, жоншны баяжмал","2016-03",20.36
"Зэс болон молибдений баяжмал","2016-03",56.08
"Төмрийн хүдэр","2016-03",421.53
"Цайрын баяжмал","2016-03",12.04
"Бусад","2016-03",12.93
"Барилгын материал","2016-03",35.11
"Мод, модон материал","2016-03",9.37
"Хүнсний өргөн хэрэглээний бүтээгдэхүүн","2016-03",8.49
"Түргэн муудах бүтээгдэхүүн","2016-03",1.82
"ХАА-н гаралтай бүтээгдэхүүн","2016-03",1.84
"Хар төмөр (хаягдал, рельс г.м)","2016-03",5.36
"Үйлдвэрийн машин, тоног төхөөрөмж, багаж хэрэгсэл","2016-03",1.51
"Бусад","2016-03",26.07
"Зорчигчид, мянган хүн","2016-03",206.54
"Зорчигчид, мянган хүн - олон улсад зорчсон","2016-03",6.52
"Зорчигчид, мянган хүн - дотоодод зорчсон","2016-03",200.02
"Зорчигч эргэлт, сая хүн километр","2016-03",70.62
"Шилжүүлсэн сая тонн километр","2016-03",1032.68
"Тээврийн орлого, сая төгрөг","2016-03",32746.08
"Тээсэн ачаа, мянган тонн","2016-04",1436.63
"Тээсэн ачаа, мянган тонн - дотоодод","2016-04",582.97
"Тээсэн ачаа, мянган тонн - гаргалт","2016-04",472.95
"Тээсэн ачаа, мянган тонн - оруулалт","2016-04",161.35
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2016-04",219.36
"Ачаа эргэлт, сая тонн километр","2016-04",906.4
"Ачаа эргэлт, сая тонн километр - дотоодын","2016-04",165.16
"Ачаа эргэлт, сая тонн километр - гаргалт","2016-04",427.07
"Ачаа эргэлт, сая тонн километр - оруулалт","2016-04",70.69
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2016-04",243.49
"Дотоодод болон гадаадад тээвэрлэсэн ачаа, мянган тонн","2016-04",1055.92
"Уул уурхайн бүтээгдэхүүн","2016-04",898.77
"Нүүрс","2016-04",440.72
"Нефть, нефтийн бүтээгдэхүүн","2016-04",16.84
"Жонш, жоншны баяжмал","2016-04",21.81
"Зэс болон молибдений баяжмал","2016-04",55.19
"Төмрийн хүдэр","2016-04",346.19
"Цайрын баяжмал","2016-04",15.05
"Бусад","2016-04",2.98
"Барилгын материал","2016-04",97.98
"Мод, модон материал","2016-04",9.39
"Хүнсний өргөн хэрэглээний бүтээгдэхүүн","2016-04",11.14
"Түргэн муудах бүтээгдэхүүн","2016-04",2.35
"ХАА-н гаралтай бүтээгдэхүүн","2016-04",0.54
"Хар төмөр (хаягдал, рельс г.м)","2016-04",5.72
"Үйлдвэрийн машин, тоног төхөөрөмж, багаж хэрэгсэл","2016-04",0.88
"Бусад","2016-04",29.14
"Зорчигчид, мянган хүн","2016-04",206.74
"Зорчигчид, мянган хүн - олон улсад зорчсон","2016-04",8.45
"Зорчигчид, мянган хүн - дотоодод зорчсон","2016-04",198.29
"Зорчигч эргэлт, сая хүн километр","2016-04",74.69
"Шилжүүлсэн сая тонн километр","2016-04",981.1
"Тээврийн орлого, сая төгрөг","2016-04",30612.19
"Тээсэн ачаа, мянган тонн","2016-05",1641.62
"Тээсэн ачаа, мянган тонн - дотоодод","2016-05",611.47
"Тээсэн ачаа, мянган тонн - гаргалт","2016-05",627.29
"Тээсэн ачаа, мянган тонн - оруулалт","2016-05",175.21
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2016-05",227.65
"Ачаа эргэлт, сая тонн километр","2016-05",1098.29
"Ачаа эргэлт, сая тонн километр - дотоодын","2016-05",188.8
"Ачаа эргэлт, сая тонн километр - гаргалт","2016-05",579.49
"Ачаа эргэлт, сая тонн километр - оруулалт","2016-05",77.3
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2016-05",252.69
"Дотоодод болон гадаадад тээвэрлэсэн ачаа, мянган тонн","2016-05",1238.76
"Уул уурхайн бүтээгдэхүүн","2016-05",1020.1
"Нүүрс","2016-05",376.96
"Нефть, нефтийн бүтээгдэхүүн","2016-05",20.02
"Жонш, жоншны баяжмал","2016-05",20.41
"Зэс болон молибдений баяжмал","2016-05",54.85
"Төмрийн хүдэр","2016-05",521.73
"Цайрын баяжмал","2016-05",18.06
"Бусад","2016-05",8.07
"Барилгын материал","2016-05",147.65
"Мод, модон материал","2016-05",9.04
"Хүнсний өргөн хэрэглээний бүтээгдэхүүн","2016-05",10.07
"Түргэн муудах бүтээгдэхүүн","2016-05",3.19
"ХАА-н гаралтай бүтээгдэхүүн","2016-05",4.72
"Хар төмөр (хаягдал, рельс г.м)","2016-05",8.79
"Үйлдвэрийн машин, тоног төхөөрөмж, багаж хэрэгсэл","2016-05",1.84
"Бусад","2016-05",33.35
"Зорчигчид, мянган хүн","2016-05",218.9
"Зорчигчид, мянган хүн - олон улсад зорчсон","2016-05",10.58
"Зорчигчид, мянган хүн - дотоодод зорчсон","2016-05",208.32
"Зорчигч эргэлт, сая хүн километр","2016-05",81.36
"Шилжүүлсэн сая тонн километр","2016-05",1179.65
"Тээврийн орлого, сая төгрөг","2016-05",37231.84
"Тээсэн ачаа, мянган тонн","2016-II",4767.6
"Тээсэн ачаа, мянган тонн - дотоодод","2016-II",1768.3
"Тээсэн ачаа, мянган тонн - гаргалт","2016-II",1788.1
"Тээсэн ачаа, мянган тонн - оруулалт","2016-II",537.7
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2016-II",673.5
"Ачаа эргэлт, сая тонн километр","2016-II",3159.1
"Ачаа эргэлт, сая тонн километр - дотоодын","2016-II",541.7
"Ачаа эргэлт, сая тонн километр - гаргалт","2016-II",1633.4
"Ачаа эргэлт, сая тонн километр - оруулалт","2016-II",236.5
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2016-II",747.6
"Дотоодод болон гадаадад тээвэрлэсэн ачаа, мянган тонн","2016-II",3556.4
"Уул уурхайн бүтээгдэхүүн","2016-II",2947.1
"Нүүрс","2016-II",1165.9
"Нефть, нефтийн бүтээгдэхүүн","2016-II",50.9
"Жонш, жоншны баяжмал","2016-II",66.3
"Зэс болон молибдений баяжмал","2016-II",164.7
"Төмрийн хүдэр","2016-II",1440.6
"Цайрын баяжмал","2016-II",45.2
"Бусад","2016-II",13.5
"Барилгын материал","2016-II",406.6
"Мод, модон материал","2016-II",26.2
"Хүнсний өргөн хэрэглээний бүтээгдэхүүн","2016-II",32
"Түргэн муудах бүтээгдэхүүн","2016-II",7.7
"ХАА-н гаралтай бүтээгдэхүүн","2016-II",5.8
"Хар төмөр (хаягдал, рельс г.м)","2016-II",27.5
"Үйлдвэрийн машин, тоног төхөөрөмж, багаж хэрэгсэл","2016-II",5.1
"Бусад","2016-II",98.4
"Зорчигчид, мянган хүн","2016-II",665.6
"Зорчигчид, мянган хүн - олон улсад зорчсон","2016-II",32.7
"Зорчигчид, мянган хүн - дотоодод зорчсон","2016-II",632.9
"Зорчигч эргэлт, сая хүн километр","2016-II",244.4
"Шилжүүлсэн сая тонн километр","2016-II",3403.5
"Тээврийн орлого, сая төгрөг","2016-II",106097.1
"Тээсэн ачаа, мянган тонн","2016-06",1689.36
"Тээсэн ачаа, мянган тонн - дотоодод","2016-06",573.85
"Тээсэн ачаа, мянган тонн - гаргалт","2016-06",687.84
"Тээсэн ачаа, мянган тонн - оруулалт","2016-06",201.15
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2016-06",226.52
"Ачаа эргэлт, сая тонн километр","2016-06",1154.45
"Ачаа эргэлт, сая тонн километр - дотоодын","2016-06",187.7
"Ачаа эргэлт, сая тонн километр - гаргалт","2016-06",626.83
"Ачаа эргэлт, сая тонн километр - оруулалт","2016-06",88.49
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2016-06",251.44
"Дотоодод болон гадаадад тээвэрлэсэн ачаа, мянган тонн","2016-06",1261.69
"Уул уурхайн бүтээгдэхүүн","2016-06",1028.18
"Нүүрс","2016-06",348.2
"Нефть, нефтийн бүтээгдэхүүн","2016-06",14.02
"Жонш, жоншны баяжмал","2016-06",24.09
"Зэс болон молибдений баяжмал","2016-06",54.69
"Төмрийн хүдэр","2016-06",572.72
"Цайрын баяжмал","2016-06",12.04
"Бусад","2016-06",2.42
"Барилгын материал","2016-06",160.97
"Мод, модон материал","2016-06",7.74
"Хүнсний өргөн хэрэглээний бүтээгдэхүүн","2016-06",10.8
"Түргэн муудах бүтээгдэхүүн","2016-06",2.12
"ХАА-н гаралтай бүтээгдэхүүн","2016-06",0.52
"Хар төмөр (хаягдал, рельс г.м)","2016-06",13.03
"Үйлдвэрийн машин, тоног төхөөрөмж, багаж хэрэгсэл","2016-06",2.42
"Бусад","2016-06",35.93
"Зорчигчид, мянган хүн","2016-06",239.96
"Зорчигчид, мянган хүн - олон улсад зорчсон","2016-06",13.63
"Зорчигчид, мянган хүн - дотоодод зорчсон","2016-06",226.33
"Зорчигч эргэлт, сая хүн километр","2016-06",88.34
"Шилжүүлсэн сая тонн километр","2016-06",1242.8
"Тээврийн орлого, сая төгрөг","2016-06",38253.09
"Тээсэн ачаа, мянган тонн","2016-07",1592.44
"Тээсэн ачаа, мянган тонн - дотоодод","2016-07",507.88
"Тээсэн ачаа, мянган тонн - гаргалт","2016-07",681.97
"Тээсэн ачаа, мянган тонн - оруулалт","2016-07",194.36
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2016-07",208.23
"Ачаа эргэлт, сая тонн километр","2016-07",1120.67
"Ачаа эргэлт, сая тонн километр - дотоодын","2016-07",154.9
"Ачаа эргэлт, сая тонн километр - гаргалт","2016-07",645.53
"Ачаа эргэлт, сая тонн километр - оруулалт","2016-07",89.11
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2016-07",231.14
"Дотоодод болон гадаадад тээвэрлэсэн ачаа, мянган тонн","2016-07",1189.85
"Уул уурхайн бүтээгдэхүүн","2016-07",1012.78
"Нүүрс","2016-07",351.84
"Нефть, нефтийн бүтээгдэхүүн","2016-07",18.69
"Жонш, жоншны баяжмал","2016-07",18.16
"Зэс болон молибдений баяжмал","2016-07",55.56
"Төмрийн хүдэр","2016-07",553.15
"Цайрын баяжмал","2016-07",8.8
"Бусад","2016-07",6.58
"Барилгын материал","2016-07",115.59
"Мод, модон материал","2016-07",6.91
"Хүнсний өргөн хэрэглээний бүтээгдэхүүн","2016-07",10.27
"Түргэн муудах бүтээгдэхүүн","2016-07",1.96
"ХАА-н гаралтай бүтээгдэхүүн","2016-07",0.89
"Хар төмөр (хаягдал, рельс г.м)","2016-07",9.62
"Үйлдвэрийн машин, тоног төхөөрөмж, багаж хэрэгсэл","2016-07",1.95
"Бусад","2016-07",29.88
"Зорчигчид, мянган хүн","2016-07",258.73
"Зорчигчид, мянган хүн - олон улсад зорчсон","2016-07",16.3
"Зорчигчид, мянган хүн - дотоодод зорчсон","2016-07",242.42
"Зорчигч эргэлт, сая хүн километр","2016-07",93.58
"Шилжүүлсэн сая тонн километр","2016-07",1214.25
"Тээврийн орлого, сая төгрөг","2016-07",39857.51
"Тээсэн ачаа, мянган тонн","2016-08",1616.02
"Тээсэн ачаа, мянган тонн - дотоодод","2016-08",674.83
"Тээсэн ачаа, мянган тонн - гаргалт","2016-08",553
"Тээсэн ачаа, мянган тонн - оруулалт","2016-08",183.46
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2016-08",204.72
"Ачаа эргэлт, сая тонн километр","2016-08",1003.44
"Ачаа эргэлт, сая тонн километр - дотоодын","2016-08",193.99
"Ачаа эргэлт, сая тонн километр - гаргалт","2016-08",492.38
"Ачаа эргэлт, сая тонн километр - оруулалт","2016-08",89.82
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2016-08",227.24
"Дотоодод болон гадаадад тээвэрлэсэн ачаа, мянган тонн","2016-08",1227.84
"Уул уурхайн бүтээгдэхүүн","2016-08",995.69
"Нүүрс","2016-08",374.11
"Нефть, нефтийн бүтээгдэхүүн","2016-08",29.05
"Жонш, жоншны баяжмал","2016-08",25.12
"Зэс болон молибдений баяжмал","2016-08",56.02
"Төмрийн хүдэр","2016-08",481.12
"Цайрын баяжмал","2016-08",10.86
"Бусад","2016-08",19.4
"Барилгын материал","2016-08",161.33
"Мод, модон материал","2016-08",10.44
"Хүнсний өргөн хэрэглээний бүтээгдэхүүн","2016-08",11.02
"Түргэн муудах бүтээгдэхүүн","2016-08",1.26
"ХАА-н гаралтай бүтээгдэхүүн","2016-08",3.24
"Хар төмөр (хаягдал, рельс г.м)","2016-08",6.31
"Үйлдвэрийн машин, тоног төхөөрөмж, багаж хэрэгсэл","2016-08",1.8
"Бусад","2016-08",36.74
"Зорчигчид, мянган хүн","2016-08",257.77
"Зорчигчид, мянган хүн - олон улсад зорчсон","2016-08",16.01
"Зорчигчид, мянган хүн - дотоодод зорчсон","2016-08",241.76
"Зорчигч эргэлт, сая хүн километр","2016-08",97.24
"Шилжүүлсэн сая тонн километр","2016-08",1100.68
"Тээврийн орлого, сая төгрөг","2016-08",40130.26
"Тээсэн ачаа, мянган тонн","2016-III",5048
"Тээсэн ачаа, мянган тонн - дотоодод","2016-III",1990.8
"Тээсэн ачаа, мянган тонн - гаргалт","2016-III",1913.1
"Тээсэн ачаа, мянган тонн - оруулалт","2016-III",545.4
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2016-III",598.7
"Ачаа эргэлт, сая тонн километр","2016-III",3241.7
"Ачаа эргэлт, сая тонн километр - дотоодын","2016-III",558.6
"Ачаа эргэлт, сая тонн километр - гаргалт","2016-III",1753.8
"Ачаа эргэлт, сая тонн километр - оруулалт","2016-III",264.8
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2016-III",664.6
"Дотоодод болон гадаадад тээвэрлэсэн ачаа, мянган тонн","2016-III",3904
"Уул уурхайн бүтээгдэхүүн","2016-III",3240.4
"Нүүрс","2016-III",1253.7
"Нефть, нефтийн бүтээгдэхүүн","2016-III",66.4
"Жонш, жоншны баяжмал","2016-III",68.3
"Зэс болон молибдений баяжмал","2016-III",166.5
"Төмрийн хүдэр","2016-III",1605.8
"Цайрын баяжмал","2016-III",30
"Бусад","2016-III",49.7
"Барилгын материал","2016-III",456.7
"Мод, модон материал","2016-III",24.1
"Хүнсний өргөн хэрэглээний бүтээгдэхүүн","2016-III",31.2
"Түргэн муудах бүтээгдэхүүн","2016-III",4.9
"ХАА-н гаралтай бүтээгдэхүүн","2016-III",12.5
"Хар төмөр (хаягдал, рельс г.м)","2016-III",23.8
"Үйлдвэрийн машин, тоног төхөөрөмж, багаж хэрэгсэл","2016-III",5.3
"Бусад","2016-III",105.2
"Зорчигчид, мянган хүн","2016-III",703.4
"Зорчигчид, мянган хүн - олон улсад зорчсон","2016-III",42.7
"Зорчигчид, мянган хүн - дотоодод зорчсон","2016-III",660.8
"Зорчигч эргэлт, сая хүн километр","2016-III",257.8
"Шилжүүлсэн сая тонн километр","2016-III",3499.5
"Тээврийн орлого, сая төгрөг","2016-III",121510.7
"Тээсэн ачаа, мянган тонн","2016-09",1839.59
"Тээсэн ачаа, мянган тонн - дотоодод","2016-09",808.09
"Тээсэн ачаа, мянган тонн - гаргалт","2016-09",678.16
"Тээсэн ачаа, мянган тонн - оруулалт","2016-09",167.59
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2016-09",185.74
"Ачаа эргэлт, сая тонн километр","2016-09",1117.59
"Ачаа эргэлт, сая тонн километр - дотоодын","2016-09",209.74
"Ачаа эргэлт, сая тонн километр - гаргалт","2016-09",615.85
"Ачаа эргэлт, сая тонн километр - оруулалт","2016-09",85.83
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2016-09",206.17
"Дотоодод болон гадаадад тээвэрлэсэн ачаа, мянган тонн","2016-09",1486.29
"Уул уурхайн бүтээгдэхүүн","2016-09",1231.91
"Нүүрс","2016-09",527.74
"Нефть, нефтийн бүтээгдэхүүн","2016-09",18.7
"Жонш, жоншны баяжмал","2016-09",25
"Зэс болон молибдений баяжмал","2016-09",54.9
"Төмрийн хүдэр","2016-09",571.55
"Цайрын баяжмал","2016-09",10.35
"Бусад","2016-09",23.68
"Барилгын материал","2016-09",179.74
"Мод, модон материал","2016-09",6.72
"Хүнсний өргөн хэрэглээний бүтээгдэхүүн","2016-09",9.86
"Түргэн муудах бүтээгдэхүүн","2016-09",1.65
"ХАА-н гаралтай бүтээгдэхүүн","2016-09",8.38
"Хар төмөр (хаягдал, рельс г.м)","2016-09",7.86
"Үйлдвэрийн машин, тоног төхөөрөмж, багаж хэрэгсэл","2016-09",1.56
"Бусад","2016-09",38.6
"Зорчигчид, мянган хүн","2016-09",186.91
"Зорчигчид, мянган хүн - олон улсад зорчсон","2016-09",10.34
"Зорчигчид, мянган хүн - дотоодод зорчсон","2016-09",176.57
"Зорчигч эргэлт, сая хүн километр","2016-09",66.97
"Шилжүүлсэн сая тонн километр","2016-09",1184.57
"Тээврийн орлого, сая төгрөг","2016-09",41522.97
"Тээсэн ачаа, мянган тонн","2016-10",1895.22
"Тээсэн ачаа, мянган тонн - дотоодод","2016-10",774.19
"Тээсэн ачаа, мянган тонн - гаргалт","2016-10",749.7
"Тээсэн ачаа, мянган тонн - оруулалт","2016-10",170.17
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2016-10",201.17
"Ачаа эргэлт, сая тонн километр","2016-10",1214.32
"Ачаа эргэлт, сая тонн километр - дотоодын","2016-10",215.22
"Ачаа эргэлт, сая тонн километр - гаргалт","2016-10",699.39
"Ачаа эргэлт, сая тонн километр - оруулалт","2016-10",76.41
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2016-10",223.3
"Дотоодод болон гадаадад тээвэрлэсэн ачаа, мянган тонн","2016-10",1523.88
"Уул уурхайн бүтээгдэхүүн","2016-10",1361.14
"Нүүрс","2016-10",697.16
"Нефть, нефтийн бүтээгдэхүүн","2016-10",25.68
"Жонш, жоншны баяжмал","2016-10",20.19
"Зэс болон молибдений баяжмал","2016-10",55.53
"Төмрийн хүдэр","2016-10",540.84
"Цайрын баяжмал","2016-10",8.31
"Бусад","2016-10",13.41
"Барилгын материал","2016-10",72.83
"Мод, модон материал","2016-10",4
"Хүнсний өргөн хэрэглээний бүтээгдэхүүн","2016-10",10.15
"Түргэн муудах бүтээгдэхүүн","2016-10",1.68
"ХАА-н гаралтай бүтээгдэхүүн","2016-10",31.52
"Хар төмөр (хаягдал, рельс г.м)","2016-10",8.06
"Үйлдвэрийн машин, тоног төхөөрөмж, багаж хэрэгсэл","2016-10",1.29
"Бусад","2016-10",33.22
"Зорчигчид, мянган хүн","2016-10",205.5
"Зорчигчид, мянган хүн - олон улсад зорчсон","2016-10",9.91
"Зорчигчид, мянган хүн - дотоодод зорчсон","2016-10",195.58
"Зорчигч эргэлт, сая хүн километр","2016-10",73.63
"Шилжүүлсэн сая тонн километр","2016-10",1287.95
"Тээврийн орлого, сая төгрөг","2016-10",39899.75
"Тээсэн ачаа, мянган тонн","2016-11",1974.24
"Тээсэн ачаа, мянган тонн - дотоодод","2016-11",973.88
"Тээсэн ачаа, мянган тонн - гаргалт","2016-11",641.22
"Тээсэн ачаа, мянган тонн - оруулалт","2016-11",184.37
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2016-11",174.77
"Ачаа эргэлт, сая тонн километр","2016-11",1132.58
"Ачаа эргэлт, сая тонн километр - дотоодын","2016-11",249.53
"Ачаа эргэлт, сая тонн километр - гаргалт","2016-11",593.58
"Ачаа эргэлт, сая тонн километр - оруулалт","2016-11",95.48
"Ачаа эргэлт, сая тонн километр - дамжин өнгөрөх","2016-11",193.99
"Дотоодод болон гадаадад тээвэрлэсэн ачаа, мянган тонн","2016-11",1615.1
"Уул уурхайн бүтээгдэхүүн","2016-11",1525.11
"Нүүрс","2016-11",802.76
"Нефть, нефтийн бүтээгдэхүүн","2016-11",19.15
"Жонш, жоншны баяжмал","2016-11",19.56
"Зэс болон молибдений баяжмал","2016-11",52.33
"Төмрийн хүдэр","2016-11",588.62
"Цайрын баяжмал","2016-11",11.26
"Бусад","2016-11",31.43
"Барилгын материал","2016-11",21.55
"Мод, модон материал","2016-11",2.9
"Хүнсний өргөн хэрэглээний бүтээгдэхүүн","2016-11",16.4
"Түргэн муудах бүтээгдэхүүн","2016-11",1.29
"ХАА-н гаралтай бүтээгдэхүүн","2016-11",10.34
"Хар төмөр (хаягдал, рельс г.м)","2016-11",3.52
"Үйлдвэрийн машин, тоног төхөөрөмж, багаж хэрэгсэл","2016-11",1.57
"Бусад","2016-11",32.43
"Зорчигчид, мянган хүн","2016-11",234.23
"Зорчигчид, мянган хүн - олон улсад зорчсон","2016-11",7.33
"Зорчигчид, мянган хүн - дотоодод зорчсон","2016-11",226.9
"Зорчигч эргэлт, сая хүн километр","2016-11",88.35
"Шилжүүлсэн сая тонн километр","2016-11",1220.93
"Тээврийн орлого, сая төгрөг","2016-11",50651.31
"Тээсэн ачаа, мянган тонн","2016-IV",5772.4
"Тээсэн ачаа, мянган тонн - дотоодод","2016-IV",2658.6
"Тээсэн ачаа, мянган тонн - гаргалт","2016-IV",2065.1
"Тээсэн ачаа, мянган тонн - оруулалт","2016-IV",489
"Тээсэн ачаа, мянган тонн - дамжин өнгөрөх","2016-IV",559.6
"Ачаа эргэлт, сая тонн километр","2016-IV",3367.4
"Ачаа эргэлт, сая тонн километр - дотоодын","2016-IV",658.1
"Ачаа эргэлт, сая тонн километр - гаргалт","2016-IV",1831.5
"Ачаа эргэлт, сая тонн километр - оруулалт","2016-IV",256.6
